"","cty1","cty2","absimport"
"1003",238,293,4155.84326171875
"1004",238,534,12467.5361328125
"1005",243,111,1467428.75
"1006",243,112,45714.30078125
"1007",243,132,9142.859375
"1008",243,134,32000.00390625
"1009",243,136,13714.2900390625
"1010",243,138,4571.427734375
"1011",243,144,4571.427734375
"1012",243,146,9142.859375
"1013",243,156,91428.5546875
"1014",243,158,22857.138671875
"1015",243,184,13714.2900390625
"1016",243,273,22857.138671875
"1017",243,534,68571.453125
"1018",248,111,1257142.125
"1019",248,112,150857.125
"1020",248,132,27428.56640625
"1021",248,134,91428.5546875
"1022",248,136,36571.4375
"1023",248,138,4571.427734375
"1024",248,142,4571.427734375
"1025",248,144,41142.8515625
"1026",248,146,45714.30078125
"1027",248,156,54857.16015625
"1028",248,158,9142.859375
"1029",248,172,4571.427734375
"1030",248,228,22857.138671875
"1031",248,233,4571.427734375
"1032",248,293,22857.138671875
"1033",248,534,4571.427734375
"1034",253,111,1317402
"1035",253,112,66493.4921875
"1036",253,128,8311.6904296875
"1037",253,132,16623.373046875
"1038",253,134,54025.99609375
"1039",253,136,45714.30078125
"1040",253,138,49870.14453125
"1041",253,144,24935.060546875
"1042",253,146,20779.216796875
"1043",253,156,54025.99609375
"1044",253,158,16623.373046875
"1045",253,184,4155.84326171875
